Order_Title,Details,Start_Time,Location
Dbkl dato bandar,"Tempahan Makanan Mesyuarat
Mesyuarat Jawatankuasa Pusat Setempat 2 (JKPS2) Bil. 36/2023
- 12.10.2023  (Khamis)  - 9.30 pagi - 1.00 petang
- Chair : PENGARAH JABATAN PERANCANGAN BANDARAYA
- Bilik Mesyuarat Utama, Urus Setia Pusat Setempat (OSC), Menara DBKL 2
- Mesyuarat bersemuka 

Minum Pagi  # Rate RM15.00  
 Ready makanan 8.00 pagi
- Bihun goreng singapore + Telur mata
- 2 jenis kuih  1) kaswi gedik  2) apa2
- Buah-buahan
-  Air panas : Kopi /Teh

Menu Tengahari  # Rate RM25.00
Ready makanan 11.00 pagi
- Nasi Beriani
- Ayam masak merah
 - Dalca Telur
- Pajeri nenas, Popadom
- Buah-buahan
-  Air kordial

**** Air Mineral 60 botol
 **** Makan buffet  untuk 6o orang
**** Makan hidang utk 4 orang 
Unit OSC 2, TINGKAT BAWAH, MENARA DBKL 2",2023-10-12T18:00:00+08:00,No Location
Blk dr pakistan ,No Details,2023-10-12T18:00:00+08:00,No Location
DBKL SEPUTEH ROHANA - CIKGU HANA 01117895743,"150 orang - bungkus
7 pagi

Nasi lemak
Telur mata
2 jenis kuih
Buah
Air mineral",2023-10-14T06:00:00+08:00,PUSAT KOMUNITI PPR PINGGIRAN BUKIT JALIL FASA 2
DBKL SEPUTEH ROHANA - KHAIRIL 0126583747,"100 orang - buffet

Pagi
Nasi lemak
Telur mata
2 jenis kuih
Buah
Teh o

Makan tengah hari
Nasi tomato
Ayam masak merah
Dalca sayur
Papedom
Buah
Air kordial",2023-10-14T06:00:00+08:00,SK BUKIT JALIL
DBKL LEMBAH PANTAI EN HAFIZ - ZAKI 01126112461,"2 x mkn
150 org bungkus
Pagi dan tengahari

Sarapan pagi
Nasi lemak
Telur mata
2 jenis kuih
Buah
Air

Makan tengah hari
Nasi putih
Ayam penyet
Sambal
Ulam
Sup
Buah
Air
",2023-10-14T07:00:00+08:00,Ecopark pantai dalam
DBKL TUN RAZAK ROSLI - 0145023180,"100 org
Makan tgh hari bungkus
10 pagi
Menu 2

Nasi tomato
Ayam masak merah
Acar timun
Papedom
Buah
Air mineral",2023-10-14T10:00:00+08:00,"Dewan flat taman mulia, persiaran ikhlas"
DBKL SEGAMBUT HASSAN - BASIL 0138531185,"200 org bungkus 
Makan tengah hari menu 2

Nasi tomato
Ayam masak merah
Acar
Papedom
Buah
Air mineral",2023-10-15T09:30:00+08:00,"PADANG ECO WARRIOR, JALAN 5/39 TAMAN MEGAH KL"
DBKL SEPUTEH ROHANA - MARIANA 0122012195,"170 orang

Sarapan pagi
Bungkus
7 pagi dia nak dah. Budak makan sebelum acara

Nasi lemak
Telur mata
2 jenis kuih
Air mineral",2023-10-20T06:00:00+08:00,"PADANG SEKOLAH MENENGAH KEBANGSAAN DHARMA, KM 10 JALAN PUCHONG"
Dbkl kebudayaan kesenian ,"Program teater bangsawan

Makan malam hidang - 20
Makan malam bungkus - 80
Supper bungkus - 100

Menu 3 (makan malam)
Nasi putih
Ayam penyet
Sambal
Ulam
Sup kosong
Buah 
Air kordial


Supper
Kuey tiae/ mee / bihun goreng
2 jenis kuih
Buah
Teh & kopi",2023-10-20T16:00:00+08:00,Panggung bandaraya dewan bandaraya kl
Cik talib,"50 org
20/10/2023

Kambing seekor - RM 1800
Coleslaw
Ban mini
Black pepper sauce
Mint sauce


Sup kambing 
Roti benggali 
Ayam bakar 
Ikan bakar 
Sosej 
Sos
Buah 
Nasi goreng cina 
Air panas 
Air sejuk
RM 65/pax

Total: RM 5050.00

*Zulja Quality Enterprise*
CIMB BANK
8000 828 762",2023-10-20T18:00:00+08:00,Frim
Kak nor minta catering. 0 12-648 3282,"Seting meja set B RM1600.00
Warna putih dan royal blue
Dom 3 ( RM 300.00)
Waiter
1. Arip saripudin
2. Santo
3. Raju husain
4. Zaidul
5. Hanafi
6. Arip 

400 org 11.00 pagi
MENU Pindaan
01. Nasi beriani (warna kurang)
02. Dalca 
03. Ayam masak merah (tak mau manis)
05. Jelatah 
06. Buah  
07. Air sirap limau
08. Teh tarik RM 300.00
RM 13.00 × 400 = RM 5200.00
Wairter 4 = RM 400.00

JUMLAH RM 7800.00
Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
Zulja Quality enterprise
CIMB BANK
8000828762",2023-10-21T10:00:00+08:00,Masjid taman melati selayang jaya
Dbkl kebudayaan dan keseniaan,"Program teater bangsawan

Makan malam hidang - 20
Makan malam bungkus - 80
Supper bungkus - 100

Menu 3 (makan malam)
Nasi putih
Ayam paprik
Daging masak kicap
Sambal belacan
Ulam
Buah 
Air kordial


Supper
Kuey tiae/ mee / bihun goreng
2 jenis kuih
Buah
Teh & kopi",2023-10-21T16:00:00+08:00,No Location
En talip IPD gombak ( budak arip),"100 org 6.00 pagi - 12.00 malam
SARAPAN PAGI 7.00 pagi
01. Nasi lemak set
02. Telur mata
03. Air kopi o 
04. Teo panas
RM 7.00

 MAKAN PAGI 10.00.pagi
01. Kuih 2 jenis 
02. Roti Sandwic 
03. Air teh 
04. Kopi 0 panas
RM 7.00

MAKAN TENGAHARI 12.00 tgh
01. Nasi putih
02. Masak lemak nenas
03. Ayam greng rempah 
04. Ulam sambal belacan
05. Buah buahan
06. Air sirap limau
RM 13.00

MINUM PETANG 3.00 ptg
01. Bihun goreng
02. Kuih 1 jenis
03. Air nescafe 
04. Teo panas
RM 7.00

RM 34.00 X 100 = RM 3400.00
Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
Zulja Quality enterprise
CIMB BANK
8000828762
",2023-10-23T06:00:00+08:00,Empangan batu hulu yam
Syahirah (santo),"Bawa meja bulat 2 berserta alas dan top 
Kerusi tak payah
*Order utk 16pax*

*23 Oct Isnin*

Teabreak petang (3.30pm)

Lempeng + sambal
Seri muka
Coffee/Teh tarik

",2023-10-23T15:00:00+08:00,"Subang Villa location:  34, Jalan SS 12/1F, SS12, 47500, Subang Jaya"
En talip IPD GOMBAK ( budak arip),"70 org 6.00 - 2.00 ptg
SARAPAN PAGI
01. Nasi goreng
02. Telur dadar
03. Nes 
04. Teh O
rRM 7.00 x 70 = RM 490.00

MINUM PAGI
01. Kuih 2 jenis
02. Kopi O
03. Teh tarik
RM 7.00 x 70 = RM 490.00

TENGAHARI 103 org
Buffet 80 org
Hidang 23 org
( dom 3)
RM 150 x 3 = RM 450.00
Menu
01. Nasi tomato
02. Ayam merah
03. Dalca daging
04. Acar
05. Buah
06. Air sirap
RM 13.00 x 103 org = RM 1339.00

Waiter satu RM 100.00
(Utk buffet bawah 100 org ada charge)

Jumlah RM 2869.00
Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
Zulja Quality enterprise
CIMB BANK
8000828762
",2023-10-24T06:00:00+08:00,Empangan batu hulu yam 
Dato bandar ( arip),"*Tempahan Makanan Mesyuarat*
*Mesyuarat Jawatankuasa Pusat Setempat 1 (JKPS1) Bil. 32/2023*
- *24/10/2023(Selasa)*
- *Jam 10.30 pagi hingga 2.00 petang*
- *Chair :DATUK BANDAR*
-*Bilik Putra, Tingkat 29, Menara DBKL 1*

*Menu Makan Pagi dan Makan Tengah hari*
-70 pax

Makan Pagi
*Rate RM 15.00*
*Ready makan jam 9.00 pagi*

- bihun goreng
- 2 jenis kuih
- buah-buahan
*70 pax (bungkus) (50 pax hidang dalam bilik mesy & 20 pax - letak di ruang legar tkt 29)*

-teh tarik & kopi O
-Air panas - 50 hidang dlm bilik mesy. (sekiranya tidak muat, boleh letakkan di meja ruang legar tkt 29)
-Air mineral - 20 (letak diruang legar tkt 29)

(Untuk thermos yg letak di ruang legar sediakan paper cup)

*Bawa 2 buah jug untuk isi air kosong bersama-sama 1 GELAS UNTUK DATUK BANDAR dan letakkan dalam bilik mesyuarat putra (ambil air kosong dari mesin Cuckoo Tingkat 29)*

Makanan Tengahari
*Rate RM25.00*
-*Ready makanan Jam 11.00 Pagi*

- Nasi putih
- Daging masak lemak cili api
- Ayam goreng berempah
- sambal udang 
- ulam
- sambal belacan
- Buah-buahan
*(60 pack food dan letak kan di perkarangan tkt 29)*
*(10 hidangan dengan dome : makanan hidangan buatkan set RM20.00 (adjust lauk tu jadikan harga rm20) dan RM5.00 caj untuk dome (total RM25.00) - hidang di bilik jamuan tingkat 29)*
Jumlah keseluruhan makan adalah untuk 70 orang (10 hidang dome + 60 pack food)

-Air kordial sejuk - *(untuk 10 orang dalam bilik jamuan tkt 29)*
-Air mineral - *(untuk 60 orang pack food)*",2023-10-24T06:00:00+08:00,No Location
"DBKL MENARA 1, FUAD - DAH BAYAR (budak arip)","24/10/2023
25 pax

Waiter - 1 orang

Breakfast 
1. bihun goreng
2. kuih karipap
3. kuih koci
4. Nescafe

Lunch:
1. Nasi Putih
2.  Daging masak lemak cili api
3. Ayam goreng rempah
4. Sambal udang petai
5. Ulam sambal belacan
6. Air sirap
7. Air mineral


Teabreak petang:
1. Roti jala
2. Kari ayam
3. Seri muka
4. Teh tarik

",2023-10-24T06:00:00+08:00,"DBKL MENARA 1, BILIK MESYUARAT TINGKAT 9"
Ms.Syahirah 0 19-754 8002 (santo),"24 Oct isnin

16 org 4x makan
Breakfast (7.30am)
1. bihun goreng
2. kuih karipap
3. kuih koci
4. air cofee dan teh o (lebihkan utk teabreak pagi)

Teabreak pagi (10.30am)
1. Sandwich tuna
2. Nona manis

Lunch:
1. Nasi Putih
2.  Daging masak lemak cili api
3. Ayam goreng rempah
4. Sambal udang petai
5. Tempe bercili
6. Ulam sambal belacan
7. Air sirap oren
8. Teh tarik
9. Buah buahan

Teabreak petang:
1. Roti jala
2. Seri muka
3. Cofee/ Teh tarik

RM 70.00 x 15 = 1050.00
Waiter satu rm 100.00

Tambahan - Mineral Water 2 carton (500ml x 24 botol) = total 48 botol
RM 96.00

JUMLAH 1246.00",2023-10-24T06:00:00+08:00,"Subang Villa location:  34, Jalan SS 12/1F, SS12, 47500, Subang Jaya"
Nabihah. ‪+60 11‑2805 3817‬,"24/10/2023
40 orang - buffet
Time: 5.30 petang (dinner)
Alamat: M-09-08, BLOCK M, EMPIRE CITY DAMANSARA, JALAN DAMANSARA, DAMANSARA PERDANA, PJU 8, 47820 PETALING JAYA, SELANGOR

Bawa meja buffet
*meja buffet - 1 set

Nasi tomato
Ayam masak merah
Daging masak hitam 
Acar jelatah
Buah
Minuman oren (ais)
RM 16/pax

Waiter - RM 100
Transport - RM 50

Total: RM 790.00

Bayaran penuh selewat - lewatnya 3 hari SEBELUM majlis

Zulja Quality Enterprise
CIMB BANK
8000 828 762",2023-10-24T17:00:00+08:00,"M-09-08, BLOCK M, EMPIRE CITY DAMANSARA, JALAN DAMANSARA, DAMANSARA PERDANA, PJU 8, 47820 PETALING JAYA, SELANGOR"
DBKL MENARA 1 FUAD - DAH BAYAR,"25/10/2023
25 pax

Pelayan - 1

Breakfast
1. Nasi Lemak
2. Lepat pisang/kaswi
3. Cucur badak
4. Cofee/ Teh O

Lunch:
1. Nasi goreng cina
2. Chicken chop
3. Black pepper sauce
4. Coleslaw salad
5. Sirap ais
6. Air mineral

RM 40 x 25 = RM 1000
Waiter RM 100",2023-10-25T05:00:00+08:00,BILIK MESYUARAT TINGKAT 9
Dbkl osc,"Tempahan Makanan Mesyuarat
Mesyuarat Jawatankuasa Pusat Setempat 2 (JKPS2) Bil. 37/2023
- 25.10.2023  (Khamis)  - 9.00 pagi - 1.00 petang
- Chair : PENGARAH JABATAN PERANCANGAN BANDARAYA
- Bilik Mesyuarat Utama, Urus Setia Pusat Setempat (OSC), Menara DBKL 2
- Mesyuarat bersemuka 

Minum Pagi  # Rate RM15.00  
 Ready makanan 8.00 pagi
- Kuew teow goreng + Telur mata + Sambal ikan bilis
- 2 jenis kuih 
- Buah-buahan
-  Air panas : Kopi & Teh tarik

Menu Tengahari  # Rate RM25.00
Ready makanan 11.00 pagi
- Nasi putih 
- Sambal Udang
- Ayam masak lemak cili api
- Ulam
- Sambal belacan
- Buah-buahan
-  Air kordial

**** Air Mineral 60 botol
 **** Makan buffet  untuk 6o orang
**** Makan hidang utk 4 orang 
Unit OSC 2, TINGKAT BAWAH, MENARA DBKL 2",2023-10-25T07:00:00+08:00,Bilik mensyuarat utama urus setia pusat setempat (osc)menara dbkl 2
Ms.Syahirah  0 19-754 8002,"25 Oct

Breakfast (7.30am)

1. Nasi Lemak
2. Lepat pisang
3. Kuih ketayap
4. Cofee/ Teh O
RM 15.00 x 15 = 225.00
Waiter satu RM 100.00

JUMLAH RM 325.00",2023-10-25T12:30:00+08:00,"Subang Villa location:  34, Jalan SS 12/1F, SS12, 47500, Subang Jaya"
Dbkl dato bandar osc,"Tempahan Makanan Mesyuarat
Mesyuarat Jawatankuasa Pusat Setempat 2 (JKPS2) Bil. 37/2023
- 26.10.2023  (Khamis)  - 9.30 pagi - 1.00 petang
- Chair : PENGARAH JABATAN PERANCANGAN BANDARAYA
- Bilik Mesyuarat Utama, Urus Setia Pusat Setempat (OSC), Menara DBKL 2
- Mesyuarat bersemuka 

Tempahan Makanan Mesyuarat
Mesyuarat Jawatankuasa Pusat Setempat 2 (JKPS2) Bil. 38/2023
- 26.10.2023  (Khamis)  - 9.30 pagi - 1.00 petang
- Chair : PENGARAH JABATAN PERANCANGAN BANDARAYA
- Bilik Mesyuarat Utama, Urus Setia Pusat Setempat (OSC), Menara DBKL 2
- Mesyuarat bersemuka 

Minum Pagi 
 Ready makanan 8.00 pagi
-  Soto nasi + Sup + bergedil
- 2 jenis kuih 
- Buah-buahan
-  Air panas : Kop oi & Teh tarik

Menu Tengahari 
Ready makanan 11.00 pagi
- Nasi putih 
-  Kurma Ayam
- Ikan goreng sambal
- Sayur campur
- Buah-buahan
-  Air kordial

** Air Mineral 60 botol
 ** Makan buffet  untuk 6o orang
** Makan hidang utk 4 orang 
Unit OSC 2, TINGKAT BAWAH, MENARA DBKL 2",2023-10-26T05:30:00+08:00,No Location
Faizal ,"Tarikh : 26.10.2023 (Khamis )
Masa : 0700 petang 
Lokasi : Surau Kuarters IPD Brickfields
Bilangan : 100 orang makan 


Menu :-
Nasi putih 
Ayam berempah
Daging salai masak lemak cili api
Ulam (Daun Pegaga,Timun, dll)
Sambal belacan
Air oren
Air nescafe panas
Buah tembikai...rm 15.00
Kuih 2 jenis (100pcs)
Rm 160.00


Tambahan : -

1 org Pramusaji...rm 100

Total rm 1760.00",2023-10-26T16:00:00+08:00,Surau ipd brickfield 
Dato bandar,"*Tempahan Makanan Mesyuarat*
*Mesyuarat Jawatankuasa Pusat Setempat 1 (JKPS1) Bil. 32/2023*
- *27/10/2023(Jumaat)*
- *Jam 8.00 malam*
- *Chair :DATUK BANDAR*
-*Bilik Putra, Tingkat 29, Menara DBKL 1*

*Makan Malam*
-70 pax
*Rate RM25.00*
-*Ready makanan Jam 7.00 malam*

*Makanan*
- Nasi goreng USA (daging + telur mata)
- Kuih 2 jenis
- Buah-buahan
*(makanan adalah pack food tetapi susunkan/hidang terus atas meja meeting sama macam makan pagi selalu buat tu)*
*(sekiranya ada lebih yang tidak muat, boleh letakkan di meja ruang legar tingkat 29)*

*Minuman Panas*
teh tarik & kopi O
*(hidang dlm bilik meeting dan sekiranya tidak muat, boleh letakkan di meja ruang legar tkt 29)
-Air mineral - 20 (letak diruang legar tkt 29)

(Untuk thermos yg letak di ruang legar sediakan paper cup)

*Bawa 2 buah jug untuk isi air kosong bersama-sama 1 GELAS UNTUK DATUK BANDAR dan letakkan dalam bilik mesyuarat putra (ambil air kosong dari mesin Cuckoo Tingkat 29)*",2023-10-27T06:00:00+08:00,No Location
Felcra kak cah,"60 orang - buffet
10.30 pagi (kena siap time ni)
Lokasi: ibu pejabat felcra aras 2

Nasi beriani
Ayam goreng berempah
Daging masak hitam
Dalca
Jelatah
Buah
Air sirap limau
RM 15/pax

Waiter RM 100

Total: RM 1000

Bayaran penuh selewat - lewatnya 3 hari SEBELUM majlis

*Zulja Quality Enterprise*
CIMB BANK
8000 828 762",2023-10-27T10:00:00+08:00,No Location
"Rosnani 0179460861 - rashdan (RAJU,SANTO,HANAPI,ARIP,ZAIDUL, SARIPUDIN,.........","Set meja kerusi - 30 set
Alas meja - krim
Riben - nude
Sarung kerusi
RM 1500.00

2 MEJA DOME (letak ikan sweet sour sekor setiap meja ni)

Meja beradap + lauk pengantin (4 ekor ikan)
Tambahan ikan - FOC
RM 500.00

Meja kek - FOC
Meja hadiah - FOC
Meja doorgift - FOC
Meja buffet - FOC (2 set)

MENU
Nasi beriani
Nasi putih
Ayam masak merah
Daging masak hitam
Dalca
Acar bombay
Ulam
Sambal
Belacan
Buah tembikai
Oren
RM 15/ pax
RM 15000.00

Sayur jawa - RM 4/pax
RM 4000.00

Teh tarik (400 org) FOC

Kuih manis - koci
Cara berlauk
RM 1.80/pax
RM 1800.00

TOTAL: RM 22800.00",2023-10-28T09:00:00+08:00,Masjid Manjalara
JEMPUTAN KAHWIN GENG RUSA,No Details,2023-11-04T21:30:00+08:00,No Location
Dbkl seputeh 0126583747 mohd khairil,"100 org 2 x mkn
Pagi dan tengahari
Pukul 7 pagi depa nak makan

Mkn pagi
Nasi lemak set
Telur mata
Kuih 2 jenis
Air panas

Mkn tengahari 
Nasi hujan panas
Ayam masak merah
Dalca sayuran
Papadom
Buah 
Air kordial
",2023-11-05T07:00:00+08:00,Stadium bukit jalil
Dato bandar,"*Mesyuarat Jawatankuasa Pusat Setempat Khas (JK OSC KHAS)* *Dewan Bandaraya Kuala Lumpur*.
- '
*Masa : 10.00 pagi -11.00pagi*
*Lokasi : Bilik Putra, Tingkat 29, Menara DBKL 1, Kuala Lumpur*
*Chair : YAB Perdana Menteri*

4 helai lapik meja damas dan table top - warna sheer kuning

Minum Pagi (60 pax - Hidang)
Menu
- Kuih tradiosional 3 Jenis
- Buah
- Titbits (Mixed Nuts)
- Teh O & Kopi O (Gula & Krimer Asing)
- Air mineral Bleu",2023-11-09T05:00:00+08:00,No Location
K ida agro,"Kena bawa meja buffet dan kain lapik meja xtra 1
Bawak 2 tray kosong

200 org
10 pagi
Majlis akad nikah
Nasi minyak
Ayam msak merah
Daging hitam
Dalca
Acar timun
Buah
Air cordial
Air teh tarik - utk 200 org
Rm 15.00
Total rm 3000.00",2023-11-11T09:30:00+08:00,No 1 jalan damai puspa 6.alam damai cheras kl
Reen 013-204 4693,"200 org 11.00 pagi
MENU 6
01. Nasi putih 
02. Nasi beriani 
03. Ayam goreng berempah
04. Daging kuzi 
05. Dalca 
06. Jelatah 
07. Buah buahan 
08. Air oren
RM 15.00 x 200 = RM 3000.00
Waiters satu RM 100.00

JUMLAH 3100.00
Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
Zulja Quality enterprise
CIMB BANK
8000828762",2023-11-11T11:00:00+08:00, dewan komuniti desa pandan .
JEMPUTAN KAHWIN Bang jamaludin rawang ,No Details,2023-11-11T21:30:00+08:00,No Location
Dbkl dato bandar,"*Tempahan Makanan Mesyuarat*
*Mesyuarat Jawatankuasa Pusat Setempat 1 (JKPS1) Bil. 35/2023*
- *14/11/2023(Selasa)*
- *Jam 3.00 petang*
- *Chair :DATUK BANDAR*
-*Bilik Putra, Tingkat 29, Menara DBKL 1*

*Makan Petang*
-70 pax
*Rate RM15.00*
-*Ready makanan Jam 1.30 petang*

*Makanan*
- Mee Rojak + Telur rebus + kuah
- Cekodok pisang & Cucur udang + sos
- Buah-buahan
- Titbids (mix nuts)
*(makanan adalah pack food tetapi susunkan/hidang terus atas meja meeting sama macam makan pagi selalu buat tu)*
*(sekiranya ada lebih yang tidak muat, boleh letakkan di meja ruang legar tingkat 29)*

*Minuman Panas*
teh tarik & kopi O
*(hidang dlm bilik meeting dan sekiranya tidak muat, boleh letakkan di meja ruang legar tkt 29)
-Air mineral - 20 (letak diruang legar tkt 29)

(Untuk thermos yg letak di ruang legar sediakan paper cup)

*Bawa 2 buah jug untuk isi air kosong bersama-sama 1 GELAS UNTUK DATUK BANDAR dan letakkan dalam bilik mesyuarat putra (ambil air kosong dari mesin Cuckoo Tingkat 29)*

** List makanan di atas boleh diubah mengikut kesesuaian budget dan pihak katering sendiri.",2023-11-14T16:30:00+08:00,No Location
Ambil darah uitm,No Details,2023-11-17T08:00:00+08:00,No Location
Datuk bandar osc,"Tempahan Makanan Mesyuarat
Mesyuarat Jawatankuasa Pusat Setempat 2 (JKPS2) Bil. 41/2023
- 17.11.2023  (Jumaat)  - 9.00 pagi -1.00 petang
- Chair : PENGARAH EKSEKUTIF (PERANCANGAN)  
- Bilik Mesyuarat Utama, Urus Setia Pusat Setempat (OSC), Menara DBKL 2
- Mesyuarat bersemuka 

Minum Pagi  
 Ready makanan 8.00 pagi
- Roti jala + Kari ayam
- 2 jenis kuih :  
- Buah-buahan
-  Air panas : Kopi o & Teh tarik

Menu Tengahari  
Ready makanan 11.00 pagi
- Nasi beriani
- Ayam masak merah
- Dalca telur
- Acar rampai
- Papadom
-  Buah-buahan
-  Air kordial

** Air Mineral 60 botol
 ** Makan buffet
** Makan hidang untuk 4 orang
Unit OSC 2, TINGKAT BAWAH, MENARA DBKL 2",2023-11-17T23:00:00+08:00,No Location
Dbkl perpustakaan,"3 x mkn buffet
50 org buffet
10 orang hidang dome
Alas meja bulat - 3

7.30 pagi diorg nak mkn

Pagi
Nasi lemak
Telur mata
Kuih 2 jenis
Teh dan kopi

Tengahari 11 pagi
Nasi tomato
Ayam masak kurma
Acar timun
Papadom 
Air kordial
Buah

Petang 3 ptg
Mee kari
2 jenis kuih
Teh dan kopi
",2023-11-18T07:00:00+08:00,No Location
Kenduri paksu att,No Details,2023-11-18T11:00:00+08:00,No Location
PAK YOP RUSA KENDURI KAHWIN,No Details,2023-11-18T15:00:00+08:00,No Location
Test lori w1441s,No Details,2023-11-18T15:30:00+08:00,No Location
Dbkl perpustakaan ,"3 x mkn buffet & hidang
50 org buffet
10 orang hidang
Bawa 3 helai kain damas

Pagi
Bihun goreng
2 jenis kuih
Buah
Teh
Kopi


Lunch
Nasi beriani
Ayam masak merah
Acar jelatah
Papedom
Buah
Air kordial

Petang
Soto
Bergedil
2 jenis kuih
Buah
Air",2023-11-19T07:00:00+08:00,No Location
Datuk bandar,"*Tempahan Makanan Mesyuarat*
*Mesyuarat Jawatankuasa Pusat Setempat 1 (JKPS1) Bil. 36/2023*
- *21/11/2023(Selasa)*
- *Jam 9.30 pagi*
- *Chair :DATUK BANDAR*
-*Bilik Putra, Tingkat 29, Menara DBKL 1*

*Makan Pagi dan makan tengah hari*
-70 pax

*Rate makan pagi RM15.00*
-*Ready makanan Jam 8.00 pagi*

*Makanan pagi*
- Bihun goreng + telur mata + sambal 
- 2 jenis kuih
- Buah-buahan
- Titbids (mix nuts)
*(makanan adalah pack food tetapi susunkan/hidang terus atas meja meeting sama macam makan pagi selalu buat tu)*
*(sekiranya ada lebih yang tidak muat, boleh letakkan di meja ruang legar tingkat 29)*

*Minuman Panas*
teh tarik & kopi O
*(hidang dlm bilik meeting dan sekiranya tidak muat, boleh letakkan di meja ruang legar tkt 29)
-Air mineral - 20 (letak diruang legar tkt 29)

(Untuk thermos yg letak di ruang legar sediakan paper cup)

*Bawa 2 buah jug untuk isi air kosong bersama-sama 1 GELAS UNTUK DATUK BANDAR dan letakkan dalam bilik mesyuarat putra (ambil air kosong dari mesin Cuckoo Tingkat 29)*

*Makanan Tengahari*
*Rate RM25.00*
-*Ready makanan Jam 11.00 Pagi*

- Nasi putih
- Masak lemak daging salai
- Sambal udang
- ayam goreng berempah
- Sayur kubis goreng
- Buah-buahan
*(60 pack food dan letak kan di perkarangan tkt 29)*
*(10 hidangan dengan dome : makanan hidangan buatkan set RM20.00 (adjust lauk tu jadikan harga rm20) dan RM5.00 caj untuk dome (total RM25.00) - hidang di bilik jamuan tingkat 29)*
Jumlah keseluruhan makan adalah untuk 70 orang (10 hidang dome + 60 pack food)

-Air kordial sejuk - *(untuk 10 orang dalam bilik jamuan tkt 29)*
-Air mineral - *(untuk 60 orang pack food)*

** List makanan di atas boleh diubah mengikut kesesuaian budget dan pihak katering sendiri.",2023-11-21T10:00:00+08:00,No Location
Test wvn 1441,No Details,2023-11-22T13:00:00+08:00,No Location
Test lori rt 1441,No Details,2023-11-23T13:00:00+08:00,No Location
Ecah qon +60 10-369 5891,"7 pagi dah kena siap
Bawak kain lapik meja buffet

Minum Pagi  
- Soto Nasi impit + Sup
- Bergedil 
- 2 jenis kuih 
-  Air panas : Kopi o & Teh tarik
RM 15/pax

Pelayan - rm100
Total: RM 550",2023-11-24T05:00:00+08:00,"O&g level 3 klinik pakar, lamaze room"
Dato bandar osc,"Tempahan Makanan Mesyuarat
Mesyuarat Jawatankuasa Pusat Setempat 2 (JKPS2) Bil. 42/2023
- 24.11.2023  (Jumaat)  - 9.00 pagi -1.00 petang
- Chair : PENGARAH EKSEKUTIF (PERANCANGAN)  
- Bilik Mesyuarat Utama, Urus Setia Pusat Setempat (OSC), Menara DBKL 2

Minum Pagi  
 Ready makanan 8.00 pagi
- Soto Nasi + Sup + Bergedil 
- 2 jenis kuih 
- Buah-buahan
-  Air panas : Kopi o & Teh tarik

Menu Tengahari  
Ready makanan 11.00 pagi
- Nasi 
- Ayam berlada
- Udang masak lemak 
- Sayur campur
-  Buah-buahan
-  Air kordial

** Air Mineral 60 botol
 ** Makan buffet
** Makan hidang untuk 4 orang
Unit OSC 2, TINGKAT BAWAH, MENARA DBKL 2",2023-11-24T12:30:00+08:00,No Location
Dr azura dah bayar,"25/11/2023
80 pax - 6 petang
Pasang meja pukul 3 

5 set meja (8 seater)
Warna : lapik meja sheer putih, reben hijau emerald

Menu
Nasi Briyani 
Ayam bawang
Daging masak hitam 
Sambal udang (medium size)
Sayur Dalca
Papadom petak
Kopi o panas (kopi kampung)
Sirap limau kasturi (ais)
RM 21/pax

Kuih koci (80 biji)
Kole kacang (80 biji)
RM 144.00

Set kerusi meja (full set)
Warna putih sheer
RM 70/set

Pelayan 1 - RM 100",2023-11-25T16:30:00+08:00,No Location
Jamalon Asikin bt Abdul Karim  0 12-609 8430,"50 org 6.00 petang
KENA BAWA MEJA BUFFET
Menu..
1. Nasi putih
2. Kari ayam ubi lebih😬
3. Rendang daging hitam
4. Ulaman... umtuk 30 org jer
(sy nak masak sayur) 
5 sambal belacan👍
Air dan buah x payah
Gelas bawa 4 rak
RM 14.00 
Wairter 100.00

JUMLAH RM 800.00
Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
Zulja Quality enterprise
CIMB BANK
8000828762",2023-11-25T18:00:00+08:00, No 87 Jln Bidara 3/7 Taman Bidara
Jumpa kamal urut jam 9.00 mlm lepas insya,No Details,2023-11-26T21:00:00+08:00,No Location
Juliana 011 55007020,"3 x mkn
Pagi hntr kat hotel vortex suites and residense suite 6-5 12 jln sultan ismail
Pagi 6.00 pagi
35 org bungkus
Bihun grg singapore 
Telur mata
Air kotak
Roti gardenia sebiji
Rm 10.00

Tengahari 35 org. Hntr kat klcc
Nasi ayam set
Buah
Air kotak
Rm 10.00


Mkn mlm 35 org hntr kat hotel
4 ptg
Nasi putih
Ayam masak kicap
Sayur kobis grg
Ulam timun
Sambal belacan
Air mineral
Rm 10.00
",2023-11-28T06:00:00+08:00,Hotel vortex suites and residense jln sultan ismail kl
